Name,Type,Start Time,Elapsed Time,Start Direction,End Direction,Crashed,Dead
0,True,2.0,15.5,East,West,0,0
1,True,3.0,17.5,South,North,0,0
2,True,5.0,18.5,North,South,0,0
3,True,15.0,15.5,North,South,0,0
4,True,18.0,17.5,East,North,0,0
5,False,21.5,18.0,West,South,0,0
6,True,23.0,19.5,South,North,0,0
7,True,25.5,22.0,North,West,0,0
8,True,28.0,24.5,East,North,0,0
9,True,35.5,20.0,West,East,0,0
10,True,40.0,18.5,North,South,0,0
11,True,53.0,15.5,West,East,0,0
12,True,64.5,17.5,West,North,0,0
13,True,65.0,20.0,South,North,0,0
14,True,75.0,17.5,West,South,0,0
15,True,81.5,15.5,North,South,0,0
16,True,85.0,17.5,East,South,0,0
17,True,86.0,21.5,South,East,0,0
18,True,97.5,17.5,North,West,0,0
19,True,98.5,19.5,South,North,0,0
20,True,99.0,22.0,West,East,0,0
21,True,106.0,20.0,East,South,0,0
22,True,117.5,15.5,East,West,0,0
23,True,120.0,16.0,North,South,0,0
24,True,120.0,19.0,West,East,0,0
25,True,122.5,21.5,South,East,0,0
26,True,129.0,18.0,East,West,0,0
27,True,134.0,16.0,South,North,0,0
28,True,137.0,16.0,West,East,0,0
29,True,145.5,15.5,South,North,0,0
30,True,147.0,37.0,North,South,1,0
31,True,148.5,38.5,East,West,0,0
32,True,159.0,35.5,East,West,0,0
33,True,160.0,39.5,North,East,0,0
34,True,190.0,37.5,West,South,1,0
35,True,195.0,35.5,East,West,0,0
36,True,201.5,37.5,North,East,0,0
37,True,207.0,35.5,East,West,0,0
38,True,229.0,18.5,South,West,0,0
39,True,229.0,21.5,West,East,0,0
40,True,232.5,21.0,North,South,0,0
41,True,240.0,16.5,West,East,0,0
42,True,246.5,17.5,South,East,0,0
43,True,248.5,20.5,East,South,0,0
44,True,257.0,35.5,South,North,1,0
45,True,260.5,37.5,North,West,0,0
46,True,266.5,35.5,West,East,0,0
47,True,268.5,36.5,South,North,0,0
48,False,299.0,13.5,South,North,0,0
49,False,299.5,15.0,West,East,0,0
50,True,300.0,19.5,East,North,0,0
51,True,311.0,35.5,West,East,1,0
52,True,313.5,36.0,East,West,0,0
53,True,321.0,35.5,North,South,0,0
54,True,323.0,36.5,South,North,0,0
55,True,347.0,35.5,West,East,1,0
56,True,351.0,35.5,North,South,0,0
57,True,353.0,36.5,East,West,0,0
58,True,356.5,38.0,South,East,0,0
59,True,359.0,38.5,West,East,0,0
60,True,387.5,15.5,North,South,0,0
61,False,389.5,15.5,East,West,0,0
62,False,400.0,13.5,North,South,0,0
63,True,401.5,17.5,South,West,0,0
64,True,402.0,22.0,East,South,0,0
65,True,408.0,19.0,West,East,0,0
66,True,412.0,18.0,South,North,0,0
67,True,417.5,15.5,East,West,0,0
68,True,420.5,15.5,West,East,0,0
69,True,424.0,15.5,North,South,0,0
70,True,428.5,17.5,South,West,0,0
71,True,431.0,18.0,East,West,0,0
72,True,435.0,19.0,North,East,0,0
73,True,442.5,17.5,South,East,0,0
74,True,442.5,22.5,West,North,0,0
75,True,449.0,19.0,East,West,0,0
76,True,455.5,35.5,South,North,1,0
77,True,457.5,36.5,North,South,0,0
78,True,462.5,37.5,East,South,0,0
79,True,468.0,37.5,West,North,0,0
80,True,469.5,41.0,North,West,0,0
81,True,494.5,21.0,East,North,0,0
82,True,499.5,21.0,West,South,0,0
83,True,506.5,17.0,North,South,0,0
84,True,509.0,17.5,South,North,0,0
85,True,515.5,15.5,West,East,0,0
86,True,521.0,15.5,South,North,0,0
87,True,522.0,17.5,North,South,0,0
88,True,522.5,20.0,East,West,0,0
89,True,530.0,15.5,West,East,0,0
90,True,533.0,17.5,East,North,0,0
91,True,540.5,15.5,West,East,0,0
92,True,543.0,16.0,East,West,0,0
93,True,548.5,15.5,South,North,0,0
94,False,552.5,13.5,North,South,0,0
95,True,560.5,17.5,East,South,0,0
96,False,562.0,18.0,South,North,0,0
97,True,566.5,16.5,North,South,0,0
98,True,567.5,20.5,West,South,0,0
99,False,574.0,18.0,South,East,0,0
100,True,574.5,20.5,East,West,0,0
101,True,579.5,18.5,West,East,0,0
102,True,584.0,19.0,South,East,0,0
103,True,588.0,18.0,East,West,0,0
104,True,601.5,15.5,West,East,0,0
105,True,603.5,16.5,North,South,0,0
106,True,606.5,16.5,South,North,0,0
