Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,False,0,13.5,North,South
1,False,1.0,14.5,East,West
2,False,3.5,14.0,South,North
3,False,8.0,13.5,West,East
4,False,15.5,13.5,East,West
5,False,16.0,15.0,South,North
6,False,17.0,16.0,North,South
7,True,28.5,15.5,East,West
8,False,31.0,15.0,West,East
9,False,32.0,16.0,South,North
10,False,35.0,15.0,North,South
11,False,39.0,13.5,East,West
13,False,48.0,15.5,West,South
12,True,48.0,18.5,North,South
14,False,61.0,13.5,North,South
15,False,64.5,13.5,East,West
16,False,69.0,13.5,West,East
17,True,69.5,16.0,South,North
18,False,75.5,13.5,North,South
19,True,80.5,15.5,East,West
20,False,83.5,14.5,South,North
21,False,88.5,13.5,North,South
22,False,90.5,15.5,East,South
23,False,98.5,15.5,North,East
24,False,101.0,15.0,East,West
25,False,106.0,13.5,West,East
26,False,123.5,13.5,North,South
27,False,127.5,13.5,East,West
28,True,135.5,17.5,South,West
29,False,137.5,17.5,North,South
30,False,151.0,15.5,East,North
31,False,159.5,13.5,West,East
32,True,167.5,15.5,North,South
33,False,170.5,16.5,West,North
34,False,181.5,15.5,West,North
35,False,185.5,15.5,East,North
36,True,191.5,17.5,West,South
37,True,196.5,15.5,North,South
38,False,206.5,13.5,North,South
39,False,207.0,15.0,East,West
40,False,208.5,15.5,South,North
41,False,208.5,17.5,West,East
42,False,218.0,15.5,East,South
43,False,218.5,17.0,West,East
44,False,224.5,15.5,South,East
45,False,229.5,13.5,West,East
46,False,237.5,15.5,East,North
47,True,239.5,16.5,South,North
48,False,246.0,13.5,West,East
49,False,249.0,13.5,East,West
50,False,260.0,13.5,West,East
51,False,263.5,13.5,South,North
52,False,266.5,15.5,North,West
53,False,266.5,19.5,East,South
54,False,274.5,15.5,West,South
55,False,283.0,13.5,North,South
56,False,283.0,15.5,South,North
57,False,289.0,15.5,East,South
58,False,291.0,15.5,West,East
59,False,293.5,15.0,North,South
60,False,300.0,15.5,South,West
61,False,301.5,18.0,West,South
62,False,308.5,13.5,East,West
63,False,311.0,15.5,South,West
64,False,313.5,17.0,North,East
65,False,331.5,15.5,East,North
66,False,334.0,15.0,South,North
67,False,336.0,15.0,North,South
68,False,342.0,13.5,West,East
69,False,346.0,15.5,East,South
70,False,348.0,15.5,South,North
71,False,371.0,15.5,West,South
72,False,374.0,16.5,North,East
73,True,375.0,18.5,South,North
74,False,387.0,15.5,East,South
75,False,387.0,19.5,South,East
76,False,389.0,19.5,North,South
77,False,400.0,13.5,South,North
78,True,402.0,17.5,East,South
79,False,403.5,18.0,West,East
80,False,409.5,16.0,North,East
81,False,420.0,13.5,West,East
82,False,429.5,13.5,South,North
83,False,434.5,13.5,East,West
85,False,442.0,13.5,West,East
86,False,442.5,15.0,North,South
84,True,442.0,18.5,South,North
87,False,457.0,13.5,South,North
88,True,461.0,17.5,North,West
89,False,462.0,18.5,East,West
90,False,466.5,16.0,West,East
91,False,477.0,13.5,South,North
92,False,480.5,13.5,West,East
93,True,481.5,17.5,East,South
94,False,487.5,13.5,North,South
95,False,491.5,13.5,South,North
96,False,499.0,13.5,North,South
97,False,501.0,13.5,East,West
98,False,501.5,15.0,West,East
99,False,503.0,17.5,South,East
100,False,512.5,13.5,West,East
101,False,513.0,15.0,North,South
102,False,514.0,16.0,South,North
103,False,517.0,17.0,East,North
104,False,530.5,13.5,South,North
105,False,531.0,15.0,West,East
106,False,540.5,15.5,North,West
107,False,541.0,17.0,East,West
108,False,542.0,18.0,South,North
109,False,546.0,18.0,West,North
110,False,551.0,15.0,East,West
111,False,558.0,13.5,West,East
112,False,562.0,13.5,South,North
113,False,562.5,15.0,North,South
114,False,569.0,15.5,East,North
115,False,569.5,17.0,West,East
116,False,573.5,15.0,South,North
117,False,574.5,18.0,North,West
118,False,584.0,13.5,East,West
119,False,591.5,13.5,North,South
120,False,594.5,13.5,South,North
121,False,600.0,13.5,East,West
122,False,612.0,13.5,South,North
123,False,616.5,13.5,West,East
124,False,622.0,15.5,South,West
125,True,625.0,15.5,East,West
126,False,636.0,13.5,North,South
127,False,636.0,15.5,South,North
128,False,639.0,16.5,West,South
129,False,646.5,13.5,East,West
130,False,648.0,14.0,North,South
131,False,648.5,17.5,South,West
132,False,650.0,18.0,West,East
133,False,660.5,13.5,North,South
134,False,660.5,15.5,South,North
